"Year","Plot","Crop","Energy consumption GJ","CO2 kg","CO2 biogenic kg","CH4 kg","N2O kg","CO kg","NH3 kg","NO2 kg","SO2 kg","NMVOC kg","PM kg","SF6 kg","NO3 to water kg kg-1","PO4 kg","P kg"
2006,"2","Maize",0.0838474646225226,2.76139531865598,0,0.0097437621334656,0.00137949999503691,0.00853203994266477,0,0.00708276682052372,0.00752340497477706,0.00213033297796156,0.00316775117516541,0.00808670241795872,0,0,0
2006,"3","Alfalfa",0.0252506617504496,0.825036224474757,0,0.00295795770465666,0.000404723056727271,0.00250839996444503,0,0.00213476315654976,0.00224919072233062,0.000628479202747026,0.000944171750989988,0.00245672858276486,0,0,0
2007,"2","Wheat",0.0956553868458973,2.91139894883884,0,0.0112698731676769,0.00131235425093429,0.00819167769262495,0,0.00775639962057359,0.00792820690208082,0.00211549101825917,0.00326320877956708,0.00975276771958966,0,0,0
2007,"3","Alfalfa",0.033410560037586,1.09936146809409,0,0.0038477622215399,0.00053856736472195,0.00333451958218065,0,0.0027982637048721,0.00296869314779789,0.000870474313123514,0.00123998296436643,0.00318694400603627,0,0,0
2008,"2","Rapeseed",0.0724967208823269,2.32492073373533,0,0.00847134652675297,0.00111760181993838,0.00693837541740369,0,0.00605136592929218,0.00633098835028935,0.00175789310761605,0.00264434097163269,0.00709419884906313,0,0,0
2008,"3","Alfalfa",0.0503636111858206,1.55511207960773,0,0.0058883180813026,0.000713809973818026,0.00444351542638223,0,0.00408501501690319,0.00421714826860686,0.00116178901369941,0.00173721767944301,0.00509574010028935,0,0,0
