"Year","Plot","Crop","Energy consumption GJ","CO2 kg","CO2 biogenic kg","CH4 kg","N2O kg","CO kg","NH3","NO2 kg","SO2 kg","NMVOC kg","PM kg","SF6 kg","NO3 to water kg kg-1","PO4 kg","P kg"
2006,"2","Maize",0.529636572331115,7.73499791235423,0,0.0301475867634955,0.000486783976285732,0.471889346429845,0,0.0192334738233404,0.0104504360172002,0.00147582933547166,0.00107935944602634,0.0080564484,0,0,0
2006,"3","Alfalfa",0.176602846656707,3.45205575029848,0,0.0135977458503267,0.000217257430175,0.21623192872525,0,0.00860759958320925,0.0046913299513835,0.0006598902956185,0.00048270919243325,0.00364585,0,0,0
2007,"2","Wheat",2.85231074389243,37.2822021032235,0,0.146855655183529,0.00234638024589,2.3353048302327,0,0.0929620754986599,0.0506663634749418,0.0071268151926798,0.0052132592782791,0.03937518,0,0,0
2007,"3","Alfalfa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"2","Rapeseed",0.152354437194622,2.14784932516118,0,0.0103023877591764,0.0001301440122945,0.189883394761635,0,0.00566947327493299,0.00332624742374709,0.00042046575963399,0.000305887963913955,0.00321816375,0,0,0
2008,"3","Alfalfa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
